DATE,M2SL_PC1
1976-01-01,13.27375
1976-02-01,13.80593
1976-03-01,13.51351
1976-04-01,13.44241
1976-05-01,13.10265
1976-06-01,11.90031
1976-07-01,11.40396
1976-08-01,11.75872
1976-09-01,12.03227
1976-10-01,12.74805
1976-11-01,13.04002
1976-12-01,13.36351
1977-01-01,13.50088
1977-02-01,13.19812
1977-03-01,13.19048
1977-04-01,13.08446
1977-05-01,12.76933
1977-06-01,13.01039
1977-07-01,12.92461
1977-08-01,12.58760
1977-09-01,12.18941
1977-10-01,11.46667
1977-11-01,10.91197
1977-12-01,10.26910
1978-01-01,9.82664
1978-02-01,9.16270
1978-03-01,8.72528
1978-04-01,8.40280
1978-05-01,8.39537
1978-06-01,8.26901
1978-07-01,7.94000
1978-08-01,7.80113
1978-09-01,7.92810
1978-10-01,7.83892
1978-11-01,7.66001
1978-12-01,7.53365
1979-01-01,7.18137
1979-02-01,7.18009
1979-03-01,7.39824
1979-04-01,7.82067
1979-05-01,7.60778
1979-06-01,7.92567
1979-07-01,8.36040
1979-08-01,8.48144
1979-09-01,8.11152
1979-10-01,7.99379
1979-11-01,7.85814
1979-12-01,7.88433
1980-01-01,8.10003
1980-02-01,8.47728
1980-03-01,8.07033
1980-04-01,7.13929
1980-05-01,7.24011
1980-06-01,7.46311
1980-07-01,7.71536
1980-08-01,7.94276
1980-09-01,8.24565
1980-10-01,8.51821
1980-11-01,8.86145
1980-12-01,8.55669
1981-01-01,8.37661
1981-02-01,8.30322
1981-03-01,9.12122
1981-04-01,10.45134
1981-05-01,10.04430
1981-06-01,9.22705
1981-07-01,8.82562
1981-08-01,8.50464
1981-09-01,8.38628
1981-10-01,8.64462
1981-11-01,8.79183
1981-12-01,9.73247
1982-01-01,10.17487
1982-02-01,9.62501
1982-03-01,9.15923
1982-04-01,8.72107
1982-05-01,9.08545
1982-06-01,9.32168
1982-07-01,8.89470
1982-08-01,8.90633
1982-09-01,8.93318
1982-10-01,8.58985
1982-11-01,8.50181
1982-12-01,8.56736
1983-01-01,10.67555
1983-02-01,12.52747
1983-03-01,12.80157
1983-04-01,12.45634
1983-05-01,12.54269
1983-06-01,12.45893
1983-07-01,12.73819
1983-08-01,12.39974
1983-09-01,12.09643
1983-10-01,12.27470
1983-11-01,12.13569
1983-12-01,11.41718
1984-01-01,9.12524
1984-02-01,8.08293
1984-03-01,7.93966
1984-04-01,8.04003
1984-05-01,7.88018
1984-06-01,7.86949
1984-07-01,7.68597
1984-08-01,7.54098
1984-09-01,7.73810
1984-10-01,7.60766
1984-11-01,8.00549
1984-12-01,8.61314
1985-01-01,9.08241
1985-02-01,9.07701
1985-03-01,8.78080
1985-04-01,8.38162
1985-05-01,8.41160
1985-06-01,8.91608
1985-07-01,9.26467
1985-08-01,9.57676
1985-09-01,9.44573
1985-10-01,9.25672
1985-11-01,8.60875
1985-12-01,8.05151
1986-01-01,7.27577
1986-02-01,6.74568
1986-03-01,7.05350
1986-04-01,7.67871
1986-05-01,8.17326
1986-06-01,7.97480
1986-07-01,8.11278
1986-08-01,8.28560
1986-09-01,8.60609
1986-10-01,8.88979
1986-11-01,9.02010
1986-12-01,9.46591
1987-01-01,9.66388
1987-02-01,9.33583
1987-03-01,8.70870
1987-04-01,8.20627
1987-05-01,7.27716
1987-06-01,6.51056
1987-07-01,5.80218
1987-08-01,5.35424
1987-09-01,4.93665
1987-10-01,4.74064
1987-11-01,4.35346
1987-12-01,3.60704
1988-01-01,3.77200
1988-02-01,4.47316
1988-03-01,4.97512
1988-04-01,5.16674
1988-05-01,5.52130
1988-06-01,5.90355
1988-07-01,6.05254
1988-08-01,5.87476
1988-09-01,5.62243
1988-10-01,5.34674
1988-11-01,5.72209
1988-12-01,5.72460
1989-01-01,5.06778
1989-02-01,4.24331
1989-03-01,3.77071
1989-04-01,3.27413
1989-05-01,2.92550
1989-06-01,3.04588
1989-07-01,3.56949
1989-08-01,4.14634
1989-09-01,4.58588
1989-10-01,5.01804
1989-11-01,5.13724
1989-12-01,5.49829
1990-01-01,5.85286
1990-02-01,6.24958
1990-03-01,6.34730
1990-04-01,6.50699
1990-05-01,6.27573
1990-06-01,6.13627
1990-07-01,5.63819
1990-08-01,5.45147
1990-09-01,5.24171
1990-10-01,4.66266
1990-11-01,4.12664
1990-12-01,3.78430
1991-01-01,3.81773
1991-02-01,3.94124
1991-03-01,4.13153
1991-04-01,4.08546
1991-05-01,4.44917
1991-06-01,4.30034
1991-07-01,4.08125
1991-08-01,3.48550
1991-09-01,3.08179
1991-10-01,3.09269
1991-11-01,3.15393
1991-12-01,3.06865
1992-01-01,2.84393
1992-02-01,2.89000
1992-03-01,2.46847
1992-04-01,2.01957
1992-05-01,1.66318
1992-06-01,1.23810
1992-07-01,1.12631
1992-08-01,1.30551
1992-09-01,1.65132
1992-10-01,1.89578
1992-11-01,1.81251
1992-12-01,1.55685
1993-01-01,1.12090
1993-02-01,0.42647
1993-03-01,0.22915
1993-04-01,0.34121
1993-05-01,1.12693
1993-06-01,1.44398
1993-07-01,1.41725
1993-08-01,1.37990
1993-09-01,1.22863
1993-10-01,0.96092
