DATE,HOUST_PC1
2010-07-01,-8.08081
2010-08-01,2.21843
2010-09-01,1.53846
2010-10-01,1.68539
2010-11-01,-7.31293
2010-12-01,-7.22892
2011-01-01,2.60586
2011-02-01,-14.40397
2011-03-01,-5.66038
2011-04-01,-19.35953
2011-05-01,-3.77358
2011-06-01,13.43284
2011-07-01,14.10256
2011-08-01,-2.33723
2011-09-01,9.42761
2011-10-01,12.33886
2011-11-01,30.45872
2011-12-01,28.75696
2012-01-01,14.76190
2012-02-01,36.17021
2012-03-01,15.83333
2012-04-01,35.92058
2012-05-01,26.20321
2012-06-01,24.50658
2012-07-01,18.78010
2012-08-01,28.88889
2012-09-01,30.30769
2012-10-01,50.00000
2012-11-01,17.15893
2012-12-01,40.63401
2013-01-01,22.82158
2013-02-01,36.64773
2013-03-01,45.32374
2013-04-01,10.88977
2013-05-01,31.35593
2013-06-01,10.83223
2013-07-01,18.91892
2013-08-01,21.61804
2013-09-01,0.35419
2013-10-01,1.09290
2013-11-01,32.05282
2013-12-01,2.66393
2014-01-01,0.00000
2014-02-01,-1.87110
2014-03-01,-3.96040
2014-04-01,24.91018
2014-05-01,8.27957
2014-06-01,8.58164
2014-07-01,23.29545
2014-08-01,7.30643
2014-09-01,20.35294
2014-10-01,16.10811
2014-11-01,-9.00000
2014-12-01,7.08583
2015-01-01,22.18468
2015-02-01,-6.14407
2015-03-01,-1.03093
2015-04-01,14.09396
2015-05-01,7.14995
2015-06-01,32.27223
2015-07-01,5.62212
2015-08-01,14.83740
2015-09-01,19.64809
2015-10-01,-1.48976
2015-11-01,17.08292
2015-12-01,6.80336
2016-01-01,0.64516
2016-02-01,38.26185
2016-03-01,15.72917
2016-04-01,-2.26891
2016-05-01,6.39481
2016-06-01,-0.16598
2016-07-01,8.11518
2016-08-01,3.62832
2016-09-01,-12.74510
2016-10-01,24.10208
2016-11-01,-2.73038
2016-12-01,9.24956
2017-01-01,8.97436
2017-02-01,3.75510
2017-03-01,7.11071
2017-04-01,-1.46174
2017-05-01,0.78397
2017-06-01,3.82377
2017-07-01,-2.66344
2017-08-01,-1.02477
2017-09-01,10.58052
2017-10-01,-4.26504
2017-11-01,11.66667
2017-12-01,-5.99042
2018-01-01,9.15966
2018-02-01,0.47207
2018-03-01,10.75630
2018-04-01,11.34380
2018-05-01,17.28608
2018-06-01,-4.56365
2018-07-01,0.16584
2018-08-01,11.13028
2018-09-01,5.84251
2018-10-01,-2.86396
2018-11-01,-7.22702
2018-12-01,-6.96686
2019-01-01,-5.61971
2019-02-01,-12.21613
2019-03-01,-9.63581
2019-04-01,-0.31348
2019-05-01,-4.71629
2019-06-01,4.27852
2019-07-01,2.64901
2019-08-01,6.75466
2019-09-01,4.88000
2019-10-01,8.51761
2019-11-01,14.56393
2019-12-01,41.36986
2020-01-01,28.71126
2020-02-01,37.10972
2020-03-01,5.12175
2020-04-01,-26.80818
2020-05-01,-18.56148
2020-06-01,0.88496
2020-07-01,22.82258
2020-08-01,1.89091
2020-09-01,11.59420
2020-10-01,16.45283
2020-11-01,14.78197
2020-12-01,5.62016
2021-01-01,3.86565
2021-02-01,-8.45804
2021-03-01,33.22684
2021-04-01,60.25779
2021-05-01,52.61159
2021-06-01,30.62201
2021-07-01,5.05581
2021-08-01,13.84725
2021-09-01,6.83527
2021-10-01,2.85159
2021-11-01,9.72312
2021-12-01,7.46177
2022-01-01,4.45394
2022-02-01,23.80952
2022-03-01,0.59952
2022-04-01,22.52011
2022-05-01,-4.16926
2022-06-01,-5.86081
2022-07-01,-13.00000
2022-08-01,-4.70219
2022-09-01,-5.95010
2022-10-01,-9.26276
2022-11-01,-16.66667
2022-12-01,-23.73364
2023-01-01,-20.50234
2023-02-01,-19.40299
2023-03-01,-20.02384
2023-04-01,-25.16411
2023-05-01,2.79221
2023-06-01,-8.23606
2023-07-01,5.81897
2023-08-01,-14.14474
2023-09-01,-7.27891
2023-10-01,-5.20833
2023-11-01,6.33803
2023-12-01,17.01493
2024-01-01,1.10213
2024-02-01,10.11396
2024-03-01,-3.20417
2024-04-01,-1.16959
2024-05-01,-19.33039
